dep_hour,o_min_vis,o_vol,o_fog,o_change,arr_hour,d_min_vis,d_vol,d_fog,d_change,delay
13,9.35,0.51,0.82,0.28,16,3.02,0.59,1.0,0.49,1
11,5.54,0.54,0.46,0.32,14,1.93,0.7,0.57,0.23,0
23,7.07,0.81,0.39,0.66,3,8.22,0.98,0.5,0.04,0
3,1.04,0.91,0.02,0.14,7,8.72,0.97,0.07,0.78,0
12,8.53,0.85,0.86,0.38,13,3.2,0.72,0.76,0.87,1
20,9.97,0.75,0.43,0.1,23,6.36,0.87,0.44,0.69,0
1,3.62,0.43,0.24,0.41,4,6.83,0.18,0.18,0.61,0
15,2.36,0.64,0.46,0.67,17,8.99,0.47,0.29,0.55,0
18,6.41,0.42,0.25,0.85,21,2.03,0.38,0.48,0.24,0
22,0.27,0.83,0.4,0.01,1,8.66,0.78,0.97,0.91,1
9,6.09,0.35,0.64,0.62,11,6.79,0.72,0.66,0.84,0
20,3.12,0.44,0.58,0.73,21,0.95,0.3,0.75,0.18,1
11,8.31,0.26,0.82,0.48,14,8.07,0.75,0.34,0.12,0
7,9.67,0.8,0.37,0.79,11,0.19,0.54,0.45,0.67,1
20,1.13,0.23,0.03,0.88,23,5.64,0.92,0.22,0.06,0
9,1.21,0.05,0.04,1.0,13,1.21,0.23,0.54,0.39,0
22,5.89,0.73,0.89,0.65,2,8.35,0.62,0.94,0.28,0
14,8.56,0.1,0.69,0.54,16,9.78,0.36,0.4,0.19,0
14,6.64,0.64,0.6,0.02,15,7.88,0.24,0.13,0.56,1
6,8.14,0.23,0.77,0.79,8,5.98,0.28,0.98,0.99,0
3,1.36,0.36,0.79,0.59,4,0.21,0.27,0.13,0.42,1
14,5.16,0.11,0.5,0.95,17,0.48,0.78,0.87,0.52,1
1,8.48,0.43,0.11,0.71,5,4.46,0.9,0.32,0.15,0
18,3.84,0.6,0.29,0.51,21,4.33,0.79,0.11,0.65,0
6,4.54,0.23,0.34,0.45,10,4.19,0.1,0.43,0.67,0
15,0.96,0.09,0.43,0.74,16,3.76,0.13,0.06,0.96,0
13,8.74,0.94,0.42,0.92,16,0.56,0.29,0.31,0.1,1
15,8.48,0.35,0.56,0.11,17,2.82,0.23,0.43,0.56,0
21,6.11,0.66,0.69,0.03,22,2.77,0.76,0.92,0.35,0
21,0.74,0.74,0.97,0.09,1,5.33,0.38,0.45,0.16,1
18,8.84,0.16,0.75,0.05,19,0.86,0.44,0.42,0.61,0
16,3.48,0.11,0.68,0.59,17,5.29,0.31,0.22,0.98,0
6,7.65,0.29,0.12,0.5,8,4.34,0.13,0.53,0.23,0
11,4.0,0.74,0.44,0.46,12,0.82,0.31,0.43,0.4,0
12,9.66,0.17,0.95,0.46,13,6.91,0.36,0.44,0.11,0
2,8.71,0.75,0.22,0.78,6,0.81,0.63,0.53,0.19,0
20,2.4,0.15,0.2,0.6,22,7.61,0.66,0.18,0.77,0
18,6.83,0.88,0.64,0.99,22,3.27,0.97,0.32,0.44,0
8,3.55,0.07,0.46,0.04,9,3.72,0.29,0.64,0.98,0
12,5.82,0.95,0.74,0.04,16,9.1,0.57,0.19,0.61,0
14,8.12,0.84,0.98,0.08,15,6.48,0.04,0.71,0.99,1
11,9.18,0.39,0.77,0.68,14,0.57,0.63,0.33,0.33,1
8,3.37,0.58,0.14,0.35,10,9.68,0.7,0.39,0.6,0
12,8.14,0.67,0.83,0.74,15,6.87,0.53,0.65,0.42,0
5,3.45,0.77,0.19,1.0,7,1.59,0.3,0.79,0.51,1
16,6.64,0.88,0.62,0.6,17,1.58,0.18,0.69,0.62,0
1,3.67,0.72,0.97,0.61,5,7.54,0.78,0.23,0.24,0
6,6.8,0.57,0.44,0.77,9,7.79,0.5,0.42,0.16,0
8,6.43,0.87,0.55,0.1,9,8.47,0.85,0.29,0.76,0
4,0.96,0.91,0.82,0.88,8,9.31,0.41,0.4,0.37,0
7,3.22,0.1,0.71,0.34,8,1.5,0.04,0.92,0.47,0
15,6.17,0.91,0.02,0.22,19,1.54,0.94,0.61,0.42,0
3,2.42,0.64,0.62,0.06,4,8.38,0.5,0.54,0.63,0
9,0.07,0.35,0.57,0.19,13,6.7,0.52,0.36,0.95,0
16,3.94,0.47,0.64,0.98,17,2.57,0.02,0.79,0.34,0
18,1.38,0.35,0.34,0.64,21,8.31,0.68,0.98,0.48,0
22,0.42,0.2,0.79,0.89,2,3.19,0.31,0.4,0.82,0
20,2.9,0.86,0.05,0.66,22,2.77,0.8,0.44,0.4,0
10,4.99,0.5,0.92,0.52,12,8.02,0.73,0.08,0.6,0
10,0.85,0.66,0.31,0.6,11,4.29,0.69,0.35,0.04,0
13,6.41,0.79,0.06,0.67,16,4.09,0.51,0.75,0.16,0
21,0.4,0.07,0.78,0.37,1,3.86,0.57,0.61,0.68,1
2,5.32,0.4,0.65,0.25,4,1.18,0.74,0.5,0.39,0
8,2.18,0.61,0.69,1.0,12,2.04,0.14,0.07,0.17,0
21,6.7,0.71,0.55,0.29,0,3.03,0.16,0.71,0.7,0
7,9.85,0.79,0.24,0.49,8,3.64,0.57,0.47,0.98,1
2,4.01,0.72,0.48,0.41,5,4.12,0.57,0.13,0.32,0
16,1.33,0.83,0.55,0.59,19,7.69,0.13,0.5,0.87,0
9,1.66,0.93,0.23,0.95,11,5.21,0.28,0.08,0.2,0
20,6.16,0.09,0.64,0.59,23,5.83,0.17,0.62,0.9,1
1,0.86,0.95,0.77,0.26,2,2.15,0.57,0.62,0.03,0
20,4.86,0.8,0.68,0.3,23,0.78,0.06,0.44,0.48,1
10,7.36,0.86,0.98,0.13,13,3.74,0.56,0.32,0.47,0
3,2.94,0.38,0.62,0.25,4,8.66,0.16,0.33,0.58,0
15,5.01,0.31,0.02,0.95,19,5.08,0.97,0.22,0.35,0
20,2.89,0.01,0.11,0.13,0,2.68,0.37,0.4,0.05,1
11,0.78,0.5,0.76,0.28,14,9.89,0.68,0.12,0.98,1
10,7.56,0.2,0.51,0.5,13,0.5,0.14,0.33,0.47,0
16,3.31,0.61,0.16,0.99,18,7.41,0.3,0.34,0.83,0
9,8.17,0.37,0.67,0.98,13,5.86,0.8,0.73,0.69,1
20,7.23,0.58,0.17,0.63,22,6.22,0.84,0.15,0.68,1
3,0.24,0.31,0.15,0.69,5,4.13,0.77,0.92,0.87,0
4,5.63,1.0,0.48,0.38,6,9.57,0.46,0.53,0.55,0
21,6.12,0.19,0.25,0.56,0,2.29,0.97,0.3,0.29,0
10,3.52,0.93,0.8,0.27,14,1.26,0.68,0.38,0.98,1
4,0.47,0.96,0.08,0.92,7,6.58,0.75,0.21,0.83,1
8,1.14,0.74,0.24,0.05,10,9.06,0.23,0.23,0.1,1
21,0.1,0.55,0.93,0.41,23,9.35,0.88,0.48,0.2,1
20,9.08,0.09,0.57,0.54,21,7.25,0.94,0.91,0.18,1
1,7.89,0.19,0.75,0.87,5,2.93,0.04,0.3,0.6,1
14,8.9,0.13,0.5,0.27,18,8.1,0.33,0.73,0.65,0
10,5.7,0.76,0.18,0.86,13,8.98,0.83,0.52,0.09,0
4,3.27,0.25,0.26,0.24,8,7.55,0.95,0.3,0.72,0
22,0.67,0.12,0.31,0.41,0,5.05,0.9,0.7,0.31,1
9,6.17,0.22,0.13,0.15,12,7.49,0.61,0.42,0.55,0
21,7.63,0.68,0.6,0.79,23,5.28,0.53,0.36,0.92,0
16,5.75,0.15,0.33,0.52,18,1.21,0.21,0.58,0.09,0
14,5.16,0.46,0.06,0.46,16,8.08,0.72,0.4,0.82,0
1,3.48,0.06,0.99,0.93,5,0.74,0.93,0.03,0.41,0
23,3.78,0.89,0.45,0.92,3,3.81,0.08,0.96,0.87,0
3,9.93,0.39,0.13,0.98,5,8.36,0.76,0.98,0.46,1
12,2.51,0.35,0.28,0.94,14,7.26,0.11,0.81,0.42,0
0,2.1,0.1,0.03,0.6,2,7.05,0.05,0.74,0.4,0
1,5.06,0.29,0.82,0.73,3,3.22,0.6,0.67,0.32,0
21,4.16,0.28,0.56,0.59,23,7.37,0.18,0.68,0.56,1
20,7.87,0.32,0.42,0.15,0,3.8,0.75,0.47,0.85,1
14,5.65,0.97,0.56,0.13,15,2.47,0.2,0.65,0.92,1
23,0.56,0.38,0.6,0.04,1,0.77,0.8,0.59,0.67,0
10,9.57,0.02,0.94,0.96,13,1.22,1.0,0.48,0.24,0
7,7.77,0.38,0.53,0.36,10,2.65,0.51,0.5,0.1,0
10,3.74,0.41,0.56,0.22,12,1.5,0.26,0.93,0.58,0
10,3.83,0.83,0.5,0.65,12,6.86,0.26,0.82,0.97,0
5,1.73,0.72,0.49,0.92,8,5.44,0.64,0.06,0.03,0
21,7.66,0.41,0.84,0.23,22,7.09,0.01,0.51,0.37,0
19,6.61,0.02,0.53,0.41,23,0.22,0.72,0.54,0.29,0
13,1.11,0.1,0.15,0.19,15,5.29,0.82,0.27,0.4,0
18,9.9,0.23,0.68,0.85,20,6.55,0.86,0.76,0.09,1
1,7.04,0.08,0.85,0.64,2,3.35,0.98,0.97,0.89,0
22,2.75,0.92,0.68,0.28,2,5.45,0.66,0.18,0.85,1
4,9.29,0.3,0.56,0.57,8,8.5,0.68,0.54,0.38,0
22,5.03,0.97,0.05,0.44,23,8.39,0.34,0.77,0.95,0
0,7.85,0.45,0.23,0.55,3,3.79,0.19,0.59,0.38,0
7,0.87,0.15,0.71,0.63,8,7.41,0.32,0.11,0.01,0
8,1.37,0.19,0.45,0.55,9,4.11,0.03,0.35,0.09,0
12,2.95,0.39,0.08,0.9,13,9.06,0.98,0.57,0.17,0
9,4.96,0.06,0.43,0.42,12,4.87,0.08,0.25,0.25,0
6,1.11,0.3,0.95,0.33,10,6.22,0.8,0.33,0.33,1
19,3.04,0.6,0.7,0.48,21,1.82,0.4,0.32,0.73,0
7,3.79,0.82,0.39,0.11,10,5.66,0.59,0.55,0.68,0
14,4.41,0.29,0.69,0.82,16,7.97,0.41,0.5,0.63,0
22,7.9,0.07,0.99,0.48,2,4.04,0.51,0.92,0.69,0
11,1.14,0.25,0.66,0.17,12,6.15,0.56,0.65,0.65,1
13,0.15,0.26,0.51,0.52,14,5.83,0.58,0.45,0.39,0
16,3.48,0.02,0.1,0.42,18,9.62,0.12,0.94,0.14,0
6,3.52,0.1,0.72,0.45,10,0.72,0.04,0.71,0.02,1
5,5.18,0.55,0.33,0.43,7,4.65,0.8,0.63,0.19,0
23,4.52,0.43,0.0,0.21,1,2.82,0.7,0.8,0.58,0
11,2.01,0.11,0.67,0.49,14,9.66,0.31,0.39,0.39,0
14,8.15,0.71,0.3,0.61,16,0.89,0.13,0.12,0.31,0
16,4.21,0.14,0.38,0.19,20,6.37,0.69,0.65,1.0,0
4,3.18,0.45,0.05,0.36,6,0.15,0.14,0.82,0.96,1
21,4.19,0.84,0.49,0.08,1,0.36,0.76,0.29,0.27,1
14,5.52,0.11,0.11,0.78,18,8.24,0.37,0.82,0.04,1
13,7.37,0.65,0.25,0.87,14,0.37,0.26,0.86,0.09,1
7,8.12,0.59,0.35,0.71,9,6.35,0.17,0.14,0.21,0
11,5.99,0.17,0.98,0.29,14,5.75,0.95,0.51,0.9,0
13,9.93,0.87,0.13,0.87,14,2.53,0.71,0.83,0.76,1
18,6.3,0.38,0.08,0.79,21,7.7,0.4,0.75,0.69,0
15,5.84,0.87,0.85,0.09,18,9.72,0.63,0.7,0.85,1
13,4.97,0.32,0.28,0.55,15,1.35,0.85,0.79,0.89,0
20,0.21,0.93,0.16,0.46,0,9.92,0.43,1.0,0.91,0
8,6.56,0.25,0.37,0.9,9,1.7,0.4,0.31,0.7,0
22,0.06,0.48,0.13,0.23,23,6.82,0.01,0.7,0.82,1
4,0.75,0.38,0.73,0.1,8,3.17,0.88,0.14,0.77,0
21,0.73,0.56,0.61,0.16,23,3.54,0.21,0.75,0.92,1
6,8.97,0.14,0.12,0.73,7,3.55,0.43,0.79,0.25,1
19,7.8,0.69,0.85,0.66,22,3.05,0.52,0.51,0.75,0
7,3.89,0.24,0.64,0.07,11,8.89,0.01,0.36,0.32,1
13,5.49,0.17,0.47,0.99,16,0.78,0.59,0.01,0.22,0
12,6.3,0.5,0.42,0.7,15,0.87,0.54,0.62,0.28,0
6,5.39,0.39,0.63,0.83,8,6.83,0.07,0.7,0.73,0
2,1.2,0.61,0.06,0.67,6,6.6,0.18,0.01,0.14,0
11,1.71,0.13,0.78,0.27,14,8.87,0.77,0.03,0.81,0
22,4.99,0.51,0.06,0.86,23,1.71,0.16,0.77,0.89,0
23,0.49,0.86,0.24,0.47,0,3.86,0.15,0.93,0.86,0
23,2.28,0.25,0.92,0.32,3,8.27,0.57,0.12,0.67,1
16,9.54,0.07,0.47,0.28,17,8.46,0.33,0.55,0.01,0
9,4.67,0.59,0.49,0.77,11,1.99,0.9,0.76,0.25,0
7,6.38,0.69,0.01,0.34,10,7.6,0.38,0.74,0.31,1
13,9.61,0.97,0.14,0.28,17,0.49,0.23,0.85,0.41,1
23,5.83,0.51,0.64,0.39,0,5.94,0.06,0.66,0.13,0
12,3.21,0.27,0.07,0.2,15,7.81,0.58,0.16,0.16,0
17,9.65,0.21,0.31,0.27,20,1.24,0.16,0.69,0.83,0
10,0.96,0.25,0.36,0.51,12,6.79,0.26,0.99,0.03,1
23,0.99,0.1,0.79,0.12,1,0.66,0.78,0.22,0.2,0
20,5.84,0.26,0.81,0.02,21,0.69,0.9,0.44,0.13,0
10,0.47,0.46,0.17,0.57,11,8.23,0.39,0.03,0.68,0
5,2.83,0.88,0.03,0.62,8,2.5,0.3,0.41,0.55,0
4,2.03,0.88,0.53,0.63,8,8.03,0.79,0.99,0.78,1
15,9.13,0.5,0.39,0.18,18,3.22,0.22,0.9,0.78,0
16,7.68,1.0,0.97,0.1,19,6.59,0.27,0.82,0.92,0
7,3.58,0.84,0.85,0.18,11,5.95,0.81,0.7,0.91,1
18,5.65,0.19,0.99,0.88,20,4.95,0.31,0.49,0.09,0
16,0.06,0.92,0.2,0.13,20,7.18,0.92,0.84,0.32,1
4,8.47,0.86,0.96,0.37,5,9.42,0.4,0.1,0.3,0
13,6.51,0.17,0.97,0.69,17,9.29,0.79,0.22,0.59,0
22,1.32,0.73,0.95,0.95,1,3.95,0.99,0.97,0.03,0
19,6.41,0.1,0.5,0.33,21,0.82,0.35,0.32,0.64,0
21,4.49,0.27,0.25,0.07,0,2.6,0.11,0.0,0.39,0
13,8.82,0.35,0.38,0.83,17,7.9,0.58,0.76,0.23,0
1,0.25,0.26,0.1,0.34,4,8.88,0.16,0.08,0.94,0
19,7.06,0.43,0.65,0.61,23,4.37,0.05,0.33,0.97,0
23,6.62,0.3,0.1,0.39,2,5.52,0.49,0.05,0.0,0
20,2.04,0.03,0.17,0.29,0,0.87,0.84,0.31,0.4,0
2,1.89,0.89,0.37,0.45,6,2.67,0.47,0.23,0.27,1
21,0.9,0.34,0.54,0.97,22,5.92,0.55,0.84,0.82,1
15,4.79,0.08,0.9,0.71,17,5.05,0.9,0.8,0.68,0
14,9.49,0.17,0.21,0.19,16,0.47,0.08,0.68,0.2,1
19,3.23,0.73,0.81,0.09,22,5.59,0.55,0.86,0.52,0
22,1.17,0.15,0.57,0.58,2,9.65,0.1,0.11,0.78,1
11,2.68,0.65,0.57,0.47,15,1.76,0.4,0.62,0.68,1
10,0.54,0.48,0.27,0.37,12,3.41,0.79,0.31,0.84,0
7,3.04,0.74,0.77,0.32,9,7.3,0.6,0.09,0.44,1
15,8.22,0.52,0.16,0.31,18,5.09,0.14,0.85,0.88,0
6,2.53,0.46,0.92,0.7,7,2.78,0.82,0.51,0.64,0
11,5.96,0.18,0.87,0.59,15,3.53,0.16,0.89,0.75,0
12,1.67,0.57,0.96,0.86,13,6.49,0.68,0.27,0.41,0
21,4.77,0.13,0.17,0.8,22,2.28,0.61,0.94,0.71,0
12,4.62,0.22,0.3,0.52,15,6.25,0.58,0.01,1.0,0
17,3.02,0.11,0.06,0.99,20,6.42,0.86,0.26,0.71,0
4,9.0,0.81,0.8,0.6,6,6.62,0.68,0.72,0.66,0
13,3.91,0.04,0.71,0.57,17,1.94,0.73,0.22,0.53,0
21,5.1,0.85,0.84,0.88,0,1.85,0.1,0.13,0.26,0
5,6.56,0.22,0.22,0.87,8,4.23,0.89,0.37,0.59,0
1,4.75,0.19,0.12,0.68,2,5.32,0.41,0.87,0.15,0
18,1.48,0.86,0.18,0.08,22,3.36,0.99,0.31,0.06,0
5,4.92,0.76,0.09,0.61,7,6.35,0.4,0.97,0.38,1
11,8.93,0.76,0.53,0.02,12,0.09,0.73,0.23,0.88,1
16,1.71,0.82,0.3,0.29,19,7.29,0.6,0.34,0.89,0
15,7.51,0.16,0.91,0.81,18,0.24,0.22,0.98,0.21,0
3,7.13,0.79,0.38,0.64,6,7.72,0.62,0.59,0.05,0
1,4.2,0.38,0.55,0.47,2,1.57,0.7,0.63,0.3,0
8,4.22,0.9,0.51,0.62,10,2.86,0.78,0.5,0.61,0
6,7.05,0.3,0.04,0.5,9,2.12,0.93,0.33,0.0,0
18,1.53,0.09,0.51,0.72,22,1.06,0.26,0.23,0.99,0
3,8.75,0.85,0.36,0.68,5,4.29,0.12,0.85,0.89,1
20,3.32,0.89,0.96,0.27,22,7.34,0.37,0.34,0.11,0
12,8.01,0.65,0.8,0.11,16,6.98,0.06,0.94,0.16,0
18,1.85,0.38,0.36,0.03,22,6.86,0.84,0.97,0.13,1
13,0.51,0.26,0.31,0.7,17,6.8,0.77,0.58,0.57,1
10,4.36,0.73,0.48,0.66,11,6.43,0.15,0.83,0.89,0
5,8.53,0.87,0.07,0.49,9,2.45,0.97,0.05,0.22,0
7,4.62,0.8,0.45,0.86,8,4.5,0.12,0.5,0.65,0
17,8.27,0.79,0.96,0.64,18,8.91,0.56,0.65,0.46,0
7,3.35,0.77,0.6,0.72,11,3.66,0.45,0.1,0.66,0
20,5.5,0.37,0.11,0.9,23,4.95,0.82,0.74,0.41,0
3,2.2,0.82,0.19,0.34,7,7.58,0.05,0.63,0.67,1
14,9.64,0.0,0.74,0.55,16,4.36,0.59,0.92,0.78,0
5,1.08,0.66,0.61,0.32,7,8.82,0.42,0.61,0.69,0
10,4.56,0.13,0.41,0.7,13,7.5,0.3,0.7,0.86,1
20,2.05,0.62,0.29,0.35,22,6.74,0.98,0.65,0.96,1
10,7.62,0.56,0.58,0.94,11,7.12,0.67,0.89,0.53,1
0,0.3,0.15,0.67,0.2,1,7.51,0.16,0.29,0.25,0
9,7.55,0.03,0.81,0.1,11,8.69,0.74,0.86,0.74,0
22,6.94,0.05,0.38,0.42,1,7.89,0.69,0.97,0.05,1
14,9.12,0.7,0.65,0.76,16,5.49,0.6,0.78,0.96,0
21,1.91,0.17,0.51,0.38,22,4.31,0.56,0.13,0.58,0
22,0.45,0.93,0.6,0.77,0,6.27,0.84,0.3,0.79,1
22,5.28,0.96,0.52,0.79,1,1.64,0.54,0.4,0.35,1
10,2.97,0.95,0.62,0.47,13,5.64,0.75,0.65,0.11,0
20,9.59,0.68,0.32,0.92,22,9.45,0.39,0.54,0.28,0
11,4.89,0.3,0.65,0.32,15,0.87,0.1,0.97,0.77,1
6,8.66,0.42,0.1,0.54,8,7.04,0.98,0.78,0.65,0
4,4.62,0.33,0.09,0.05,5,7.95,0.56,0.57,0.23,0
20,4.36,0.02,0.67,0.53,0,6.43,0.62,0.76,0.59,0
16,2.93,0.69,0.61,0.28,17,9.27,0.38,0.82,0.03,1
23,7.98,0.85,0.29,0.63,3,3.02,0.89,0.97,0.87,0
0,1.28,0.01,0.6,0.54,2,9.47,0.3,0.75,0.9,0
20,1.65,0.22,0.83,0.19,22,1.85,0.8,0.85,0.85,1
14,2.94,0.07,0.1,0.73,15,4.9,0.33,0.13,0.66,0
6,4.88,0.33,0.66,0.69,9,1.57,0.57,0.81,0.96,0
7,2.8,0.36,0.68,0.33,11,4.83,0.45,0.77,0.49,0
2,8.59,0.14,0.54,0.26,5,8.87,0.08,0.08,0.02,0
18,7.7,0.21,0.04,0.26,22,8.95,0.54,0.65,0.15,0
18,1.38,0.5,0.09,0.36,21,0.16,0.24,0.96,0.98,1
4,1.63,0.57,0.57,0.87,8,1.5,0.73,0.94,0.04,0
8,2.38,0.67,0.52,0.79,11,3.91,0.92,0.88,0.04,1
16,8.36,0.26,0.54,0.17,19,6.55,0.37,0.65,0.84,0
7,3.56,0.87,0.49,0.48,11,6.06,0.5,0.14,0.17,0
6,1.91,0.36,0.72,0.12,8,2.34,0.81,0.72,0.48,0
5,0.27,0.04,0.57,0.16,9,6.31,0.04,0.57,0.06,0
12,8.79,0.73,0.82,0.95,13,2.21,0.61,0.47,0.48,0
4,6.25,0.51,0.17,0.69,6,9.23,0.6,0.07,0.38,0
16,8.27,0.61,0.18,0.9,20,6.02,0.88,0.53,0.75,0
19,8.97,0.77,0.65,0.52,20,3.74,0.04,0.53,0.23,0
12,5.91,0.74,0.76,0.7,15,1.02,0.13,0.48,0.23,0
17,2.62,0.01,0.74,0.01,21,5.25,0.52,0.38,0.21,0
3,4.29,0.59,0.26,0.54,5,5.67,0.61,0.99,0.4,0
17,1.83,0.56,0.48,0.99,21,5.8,0.77,0.4,0.14,1
7,7.84,0.95,0.1,0.51,11,7.87,0.8,0.61,0.68,1
20,8.05,0.82,0.47,0.6,21,0.93,0.26,0.37,0.61,0
12,7.13,0.6,0.95,0.82,15,6.42,0.44,0.2,0.66,0
1,6.17,0.67,0.36,0.66,3,9.76,0.09,0.28,0.4,0
6,7.38,0.07,0.09,0.28,7,8.31,0.92,0.35,0.96,0
6,9.3,0.57,0.26,0.41,10,1.11,0.07,0.29,0.95,0
17,6.96,0.97,0.56,0.77,20,7.59,0.96,0.46,0.46,0
3,0.72,0.63,0.99,0.68,6,2.34,0.32,0.96,0.52,0
7,0.98,0.67,0.82,0.08,10,9.32,0.48,0.35,0.89,0
21,5.02,0.2,0.74,0.87,23,2.11,0.2,0.25,0.62,0
2,6.16,0.76,0.54,0.04,6,4.85,0.62,0.49,0.99,0
15,9.84,0.92,0.28,0.22,17,5.79,0.05,0.8,0.48,0
12,4.6,0.12,0.52,0.32,14,0.13,0.67,0.38,0.1,0
5,2.41,0.47,0.61,0.37,8,5.01,0.21,0.7,0.37,0
5,9.79,0.69,0.81,0.72,7,8.05,0.56,0.86,0.2,0
15,1.81,0.5,1.0,0.85,16,5.19,0.72,0.79,0.3,0
12,6.92,0.06,0.81,0.48,13,6.32,0.45,0.33,0.36,0
8,0.25,0.12,0.87,0.96,11,2.03,0.58,0.65,0.17,0
